epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,7254.03,0.53242,0.47449,0.83646,0.91323,0.67568,0.77386,0.51973,1.15659,1.23399,1.17507,0.0002774,0.0002774,0.0002774
89,7328.75,0.55902,0.48297,0.83261,0.91343,0.67568,0.77596,0.52989,1.13864,1.19327,1.17053,0.0002576,0.0002576,0.0002576
90,7402.99,0.53832,0.50707,0.82997,0.94326,0.64865,0.78088,0.53773,1.08963,1.10501,1.14675,0.0002378,0.0002378,0.0002378
91,7485.02,0.5348,0.55904,0.81907,0.85034,0.67568,0.77395,0.53136,1.08718,1.11477,1.14822,0.000218,0.000218,0.000218
92,7557.37,0.56207,0.55952,0.86008,0.94797,0.62162,0.75608,0.52222,1.08135,1.16256,1.13559,0.0001982,0.0001982,0.0001982
93,7629.18,0.56901,0.55415,0.84926,0.94672,0.62162,0.74817,0.51501,1.08706,1.19111,1.13497,0.0001784,0.0001784,0.0001784
94,7700.93,0.61844,0.57855,0.83997,0.93098,0.62162,0.74333,0.50821,1.10667,1.24204,1.14751,0.0001586,0.0001586,0.0001586
95,7773.07,0.55962,0.56199,0.83752,0.91967,0.62162,0.75021,0.52022,1.13849,1.19708,1.15599,0.0001388,0.0001388,0.0001388
96,7845.3,0.55781,0.54805,0.86432,0.92246,0.64327,0.7604,0.51753,1.13403,1.1156,1.14886,0.000119,0.000119,0.000119
97,7917.21,0.53192,0.5222,0.83456,0.85267,0.67568,0.76545,0.51938,1.12658,1.08347,1.14818,9.92e-05,9.92e-05,9.92e-05
98,7989.22,0.57535,0.53017,0.83473,0.89209,0.67043,0.76783,0.52669,1.11354,1.0496,1.14015,7.94e-05,7.94e-05,7.94e-05
99,8061.34,0.53814,0.51131,0.8414,0.89262,0.67405,0.77192,0.52787,1.10011,1.02482,1.14101,5.96e-05,5.96e-05,5.96e-05
100,8133.32,0.52821,0.49791,0.81671,0.89267,0.67438,0.7733,0.53492,1.09269,1.01181,1.13849,3.98e-05,3.98e-05,3.98e-05
